Date,IVA,investment_on_fixed_assets
2002-01,18.60 ,0.00 
2002-02,2.70 ,24.50 
2002-03,10.90 ,26.10 
2002-04,12.10 ,27.10 
2002-05,12.90 ,25.80 
2002-06,12.40 ,24.40 
2002-07,12.80 ,24.10 
2002-08,12.70 ,24.20 
2002-09,13.80 ,24.30 
2002-10,14.20 ,24.10 
2002-11,14.50 ,23.40 
2002-12,14.90 ,17.40 
2003-01,14.80 ,0.00 
2003-02,19.80 ,32.80 
2003-03,16.90 ,31.60 
2003-04,14.90 ,30.50 
2003-05,13.70 ,31.70 
2003-06,16.90 ,32.80 
2003-07,16.50 ,32.70 
2003-08,17.10 ,32.40 
2003-09,16.30 ,31.40 
2003-10,17.20 ,30.20 
2003-11,17.90 ,29.60 
2003-12,18.10 ,28.40 
2004-01,7.20 ,0.00 
2004-02,23.20 ,53.00 
2004-03,19.40 ,47.80 
2004-04,19.10 ,42.80 
2004-05,17.50 ,34.80 
2004-06,16.20 ,31.00 
2004-07,15.50 ,31.10 
2004-08,15.90 ,30.30 
2004-09,16.10 ,29.90 
2004-10,15.70 ,29.50 
2004-11,14.80 ,28.90 
2004-12,14.40 ,27.60 
2005-01,20.90 ,0.00 
2005-02,7.60 ,24.50 
2005-03,15.10 ,25.30 
2005-04,16.00 ,25.70 
2005-05,16.60 ,26.40 
2005-06,16.80 ,27.10 
2005-07,16.10 ,27.20 
2005-08,16.00 ,27.40 
2005-09,16.50 ,27.70 
2005-10,16.10 ,27.60 
2005-11,16.60 ,27.80 
2005-12,16.50 ,27.20 
2006-01,12.60 ,0.00 
2006-02,20.10 ,26.60 
2006-03,17.80 ,29.80 
2006-04,16.60 ,29.60 
2006-05,17.90 ,30.30 
2006-06,19.50 ,31.30 
2006-07,16.70 ,30.50 
2006-08,15.70 ,29.10 
2006-09,16.10 ,28.20 
2006-10,14.70 ,26.80 
2006-11,14.90 ,26.60 
2006-12,14.70 ,24.30 
2007-01,24.71 ,0.00 
2007-02,12.60 ,23.40 
2007-03,17.60 ,25.30 
2007-04,17.40 ,25.50 
2007-05,18.10 ,25.90 
2007-06,19.40 ,26.70 
2007-07,18.00 ,26.60 
2007-08,17.50 ,26.70 
2007-09,18.90 ,26.40 
2007-10,17.90 ,26.90 
2007-11,17.30 ,26.80 
2007-12,17.40 ,25.80 
2008-01,15.40 ,0.00 
2008-02,15.40 ,24.30 
2008-03,17.80 ,25.90 
2008-04,15.70 ,25.70 
2008-05,16.00 ,25.60 
2008-06,16.00 ,26.80 
2008-07,14.70 ,27.30 
2008-08,12.80 ,27.40 
2008-09,11.40 ,27.60 
2008-10,8.20 ,27.20 
2008-11,5.40 ,26.80 
2008-12,5.70 ,26.60 
2009-01,-2.93 ,0.00 
2009-02,11.00 ,26.50 
2009-03,8.30 ,28.60 
2009-04,7.30 ,30.50 
2009-05,8.90 ,32.90 
2009-06,10.70 ,33.60 
2009-07,10.80 ,32.90 
