Date,SSE Composite Index,Shanghai SE A Share (SSEA),CSI 300 Index,SSE 50 index,SZSE Component Index,M2:year-on-year,Small and medium-sized board composite index,Growth Enterprise Index,small mid cap index ,CSI 100,CSI 500,Finance (Style. Citic),Cycle (Style. Citic),Consumption (Style. Citic),Growth (Style. Citic),Stability (style. Citic)
2002-01-04,1611.39 ,1676.30 ,1316.46 ,0.00 ,3265.88 ,29.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-07,1596.76 ,1660.75 ,1302.08 ,0.00 ,3231.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-08,1583.46 ,1648.48 ,1292.71 ,0.00 ,3201.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-09,1561.35 ,1626.16 ,1272.65 ,0.00 ,3149.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-10,1576.44 ,1641.45 ,1281.26 ,0.00 ,3159.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-11,1535.59 ,1599.04 ,1249.81 ,0.00 ,3065.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-14,1485.11 ,1546.43 ,1205.15 ,0.00 ,2934.39 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-15,1459.65 ,1519.58 ,1186.43 ,0.00 ,2893.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-16,1479.62 ,1539.82 ,1201.88 ,0.00 ,2938.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-17,1419.52 ,1476.95 ,1152.15 ,0.00 ,2796.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-18,1415.44 ,1472.35 ,1149.48 ,0.00 ,2784.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-21,1366.97 ,1422.36 ,1108.61 ,0.00 ,2682.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-22,1358.69 ,1416.08 ,1109.99 ,0.00 ,2697.66 ,24.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-23,1444.97 ,1506.64 ,1183.15 ,0.00 ,2890.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-24,1456.40 ,1518.84 ,1189.58 ,0.00 ,2898.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2002-01-25,1451.48 ,1513.61 ,1189.43 ,0.00 ,2896.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
