Date,CPI,M2
2010-01,1.50 ,25.98 
2010-02,2.70 ,25.52 
2010-03,2.40 ,22.50 
2010-04,2.80 ,21.48 
2010-05,3.10 ,21.00 
2010-06,2.90 ,18.46 
2010-07,3.30 ,17.60 
2010-08,3.50 ,19.20 
2010-09,3.60 ,18.96 
2010-10,4.40 ,19.30 
2010-11,5.10 ,19.50 
2010-12,4.60 ,19.72 
2011-01,4.90 ,17.20 
2011-02,4.94 ,15.70 
2011-03,5.38 ,16.60 
2011-04,5.34 ,15.30 
2011-05,5.52 ,15.10 
2011-06,6.36 ,15.90 
2011-07,6.45 ,14.70 
2011-08,6.15 ,13.50 
2011-09,6.07 ,13.00 
2011-10,5.50 ,12.90 
2011-11,4.23 ,12.70 
2011-12,4.07 ,13.60 
2012-01,4.50 ,12.40 
2012-02,3.20 ,13.00 
2012-03,3.60 ,13.40 
2012-04,3.40 ,12.80 
2012-05,3.00 ,13.20 
2012-06,2.20 ,13.60 
2012-07,1.80 ,13.90 
2012-08,2.00 ,13.50 
2012-09,1.90 ,14.80 
2012-10,1.70 ,14.10 
2012-11,2.00 ,13.90 
2012-12,2.50 ,13.80 
2013-01,2.03 ,15.90 
2013-02,3.22 ,15.20 
2013-03,2.07 ,15.70 
2013-04,2.39 ,16.10 
2013-05,2.10 ,15.80 
2013-06,2.67 ,14.00 
2013-07,2.67 ,14.50 
2013-08,2.57 ,14.70 
2013-09,3.05 ,14.20 
2013-10,3.21 ,14.30 
2013-11,3.02 ,14.20 
2013-12,2.50 ,13.60 
2014-01,2.49 ,13.20 
2014-02,1.95 ,13.30 
2014-03,2.38 ,12.10 
2014-04,1.80 ,13.20 
2014-05,2.48 ,13.40 
2014-06,2.34 ,14.70 
2014-07,2.29 ,13.50 
2014-08,1.99 ,12.80 
2014-09,1.63 ,12.90 
2014-10,1.60 ,12.60 
2014-11,1.44 ,12.30 
2014-12,1.51 ,12.20 
2015-01,0.76 ,10.80 
2015-02,1.43 ,12.50 
2015-03,1.38 ,11.60 
2015-04,1.51 ,10.10 
2015-05,1.23 ,10.80 
2015-06,1.39 ,11.80 
2015-07,1.65 ,13.30 
2015-08,1.96 ,13.30 
2015-09,1.60 ,13.10 
2015-10,1.27 ,13.50 
2015-11,1.49 ,13.70 
2015-12,1.60 ,13.30 
2016-01,1.80 ,14.00 
2016-02,2.30 ,13.30 
2016-03,2.30 ,13.40 
2016-04,2.33 ,12.80 
2016-05,2.04 ,11.80 
2016-06,1.88 ,11.80 
2016-07,1.77 ,10.20 
2016-08,1.34 ,11.40 
2016-09,1.92 ,11.50 
2016-10,2.10 ,11.60 
2016-11,2.25 ,11.40 
2016-12,2.08 ,11.30 
2017-01,2.55 ,10.70 
2017-02,0.80 ,10.40 
2017-03,0.90 ,10.10 
2017-04,1.20 ,9.80 
2017-05,1.50 ,9.10 
2017-06,1.50 ,9.10 
2017-07,1.40 ,8.90 
2017-08,1.80 ,8.60 
2017-09,1.60 ,9.00 
2017-10,1.90 ,8.90 
2017-11,1.70 ,9.10 
2017-12,1.80 ,8.10 
2018-01,1.50 ,8.60 
2018-02,2.90 ,8.80 
2018-03,2.10 ,8.20 
2018-04,1.80 ,8.30 
2018-05,1.80 ,8.30 
2018-06,1.90 ,8.00 
2018-07,2.10 ,8.50 
2018-08,2.30 ,8.20 
2018-09,2.50 ,8.30 
2018-10,2.50 ,8.00 
2018-11,2.20 ,8.00 
2018-12,1.90 ,8.10 
2019-01,1.70 ,8.40 
2019-02,1.50 ,8.00 
2019-03,2.30 ,8.60 
2019-04,2.50 ,8.50 
2019-05,2.70 ,8.50 
2019-06,2.70 ,8.50 
2019-07,2.80 ,8.10 
2019-08,2.80 ,8.20 
2019-09,3.00 ,8.40 
2019-10,3.80 ,8.40 
2019-11,4.50 ,8.20 
2019-12,4.50 ,8.70 
2020-01,5.40 ,8.40 
2020-02,5.20 ,8.80 
2020-03,4.30 ,10.10 
2020-04,3.30 ,11.10 
2020-05,2.40 ,11.10 
2020-06,2.50 ,11.10 
2020-07,2.70 ,10.70 
2020-08,2.40 ,10.40 
2020-09,1.70 ,10.90 
2020-10,0.50 ,10.50 
2020-11,-0.50 ,10.70 
2020-12,0.20 ,10.10 
2021-01,-0.30 ,9.40 
2021-02,-0.20 ,10.10 
2021-03,0.40 ,9.40 
2021-04,0.90 ,8.10 
2021-05,1.30 ,8.30 
2021-06,1.10 ,8.60 
2021-07,1.00 ,8.30 
2021-08,0.80 ,8.20 
2021-09,0.70 ,8.30 
2021-10,1.50 ,8.70 
2021-11,2.30 ,8.50 
2021-12,2.30 ,8.50 
